Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Daily meals frequency,Physical exercise,Carbs,Proteins,Fats,Calories,meal_name,meal_type,diet_type,sugar_g,sodium_mg,cholesterol_mg,serving_size_g,cooking_method,prep_time_min,cook_time_min,rating,is_healthy,Name of Exercise,Sets,Reps,Benefit,Burns Calories (per 30 min),Target Muscle Group,Equipment Needed,Difficulty Level,Body Part,Type of Muscle,Workout
41.0,Male,120.8,1.67,188.0,146.0,54.0,0.82,593.0,HIIT,20.5,3.0,2.0,1.0,43.31,2.0,0.0,200.438,80.175,53.45,1603.502,Add Wrap,Snack,Balanced,32.9,875,270,384,Boiled,57,43,3.1,0,Leg Raises,3.0,15.0,Strengthens lower abs,185.0,Lower Abs,Pull-up Bar,Intermediate,Back,Deltoids,Barbell rows
53.0,Male,51.7,1.7,175.0,152.0,72.0,1.15,865.0,HIIT,23.6,3.5,3.0,2.0,17.89,2.0,1.0,367.812,147.125,98.083,2942.495,Ago Soup,Breakfast,Keto,11.7,825,76,112,Steamed,8,76,4.2,0,Deadlifts,4.0,8.0,Strengthens back and legs,315.0,"Back, Hamstrings, Glutes",Barbell,Advanced,Back,Deltoids,Dumbbell rows
57.0,Male,112.5,1.61,195.0,165.0,61.0,1.24,1013.0,Cardio,22.1,2.7,3.0,2.0,43.4,3.0,0.0,169.162,67.665,45.11,1353.298,Because Salad,Breakfast,Keto,34.1,765,175,267,Steamed,11,117,1.8,0,Bench Press,4.0,10.0,Builds chest strength,280.0,"Chest, Triceps","Bench, Barbell",Intermediate,Back,Deltoids,Seated cable rows
41.0,Male,94.5,2.0,179.0,136.0,69.0,1.18,794.0,HIIT,27.6,3.7,3.0,1.0,23.62,3.0,3.0,356.051,142.42,94.947,2848.407,Indicate Curry,Lunch,Paleo,26.1,588,216,144,Grilled,45,9,2.3,0,Rows,3.0,12.0,Improves posture and back strength,260.0,"Back, Biceps",Dumbbells or Barbell,Intermediate,Back,Deltoids,Bent-over rows
20.0,Male,117.7,1.81,196.0,161.0,54.0,1.35,1195.0,Yoga,26.4,3.3,3.0,2.0,35.93,3.0,0.0,216.75,86.7,57.8,1734.0,Tax Pasta,Dinner,Vegan,19.9,1623,276,441,Roasted,49,86,3.9,0,Shoulder Press,3.0,10.0,Strengthens shoulders,230.0,"Shoulders, Triceps",Dumbbells or Barbell,Intermediate,Back,Deltoids,Hyperextensions
39.0,Female,42.5,1.75,181.0,131.0,52.0,1.13,740.0,Strength,26.2,2.1,2.0,1.0,13.88,2.0,0.0,251.438,100.575,67.05,2011.502,Only Curry,Dinner,Balanced,16.1,975,201,426,Baked,57,46,2.3,0,Calf Raises,3.0,20.0,Builds calf muscles,150.0,Calves,None or Dumbbells,Beginner,Back,Deltoids,Bird dog
19.0,Female,64.0,1.53,166.0,167.0,58.0,1.33,1111.0,HIIT,29.8,2.3,3.0,2.0,27.34,3.0,0.0,235.125,94.05,62.7,1881.0,System Pasta,Dinner,Balanced,37.3,2457,136,233,Steamed,33,120,4.2,0,Tricep Extensions,3.0,12.0,Isolates and strengthens triceps,170.0,Triceps,Dumbbells,Intermediate,Arms,Biceps,Barbell curls
41.0,Female,43.8,1.77,182.0,165.0,58.0,1.19,884.0,Cardio,31.9,1.6,3.0,1.0,13.98,2.0,0.0,277.125,110.85,73.9,2217.0,Similar Salad,Lunch,Vegetarian,47.4,321,292,469,Raw,16,80,1.8,0,Lateral Raises,3.0,12.0,Builds shoulder width,165.0,Shoulders,Dumbbells,Intermediate,Arms,Biceps,Dumbbell curls
47.0,Female,66.8,1.75,199.0,146.0,56.0,1.13,742.0,Strength,32.8,2.5,3.0,2.0,21.81,4.0,0.0,235.538,94.215,62.81,1884.302,Down Stew,Lunch,Keto,26.8,2478,123,312,Grilled,47,51,3.8,0,Glute Bridges,3.0,15.0,Activates and strengthens glutes,200.0,"Glutes, Hamstrings",Pull-up Bar,Beginner,Arms,Biceps,Preacher curls
55.0,Female,75.2,1.67,188.0,167.0,51.0,1.37,1030.0,HIIT,25.2,2.2,2.0,1.0,26.96,2.0,1.0,317.969,127.188,84.792,2543.756,Decision Soup,Snack,Paleo,44.5,142,145,380,Roasted,12,63,4.8,0,Superman,3.0,12.0,Improves lower back strength,180.0,"Lower Back, Glutes",Pull-up Bar,Beginner,Arms,Biceps,Hammer curls
19.0,Male,89.0,1.77,175.0,127.0,72.0,1.5,1048.0,Strength,28.9,3.7,4.0,2.0,28.41,3.0,0.0,252.562,101.025,67.35,2020.498,Detail Curry,Breakfast,Vegan,48.7,148,281,365,Raw,18,66,1.7,0,Box Jumps,4.0,10.0,Builds explosive power,320.0,"Legs, Core",Box or Platform,Advanced,Arms,Biceps,Concentration curls
38.0,Male,71.9,1.77,197.0,142.0,72.0,1.12,875.0,Cardio,25.7,3.1,2.0,1.0,22.95,3.0,0.0,212.062,84.825,56.55,1696.498,Despite Rice,Snack,Keto,18.7,1156,110,484,Fried,53,12,3.7,1,Kettlebell Swings,3.0,15.0,Improves hip power and cardiovascular fitness,335.0,"Glutes, Hamstrings, Core",Kettlebell,Intermediate,Arms,Biceps,Close-grip bench press
50.0,Female,71.0,1.68,187.0,161.0,70.0,1.17,848.0,Yoga,33.1,2.5,2.0,1.0,25.16,3.0,0.0,299.062,119.625,79.75,2392.498,Season Curry,Dinner,Paleo,20.6,921,6,326,Grilled,46,62,1.4,0,Step-ups,3.0,12.0,Builds unilateral leg strength,260.0,"Quadriceps, Hamstrings, Glutes",Step or Box,Intermediate,Arms,Biceps,Overhead triceps extensions
29.0,Male,120.9,1.78,197.0,168.0,65.0,0.78,721.0,Yoga,28.1,3.4,2.0,1.0,38.16,2.0,0.0,214.538,85.815,57.21,1716.302,Establish Wrap,Dinner,Vegan,21.6,1058,34,233,Boiled,59,17,3.0,0,Face Pulls,3.0,15.0,Improves shoulder health and posture,145.0,"Rear Deltoids, Upper Back",Resistance Band or Cable Machine,Intermediate,Arms,Biceps,Triceps pushdowns
39.0,Female,64.3,1.69,190.0,148.0,58.0,1.25,925.0,HIIT,26.9,1.9,4.0,2.0,22.51,3.0,2.0,310.0,124.0,82.667,2480.003,Per Pasta,Dinner,Vegan,46.8,1043,86,485,Boiled,34,58,2.9,0,Lat Pulldowns,3.0,12.0,Strengthens back and improves posture,250.0,"Back, Biceps",Cable Machine,Intermediate,Arms,Biceps,Skull crushers
42.0,Female,63.7,1.71,173.0,169.0,62.0,1.42,1080.0,Yoga,26.1,1.8,3.0,2.0,21.78,2.0,0.0,299.25,119.7,79.8,2394.0,Public Stew,Breakfast,Paleo,31.7,1137,41,211,Boiled,55,50,4.8,0,Reverse Lunges,3.0,10.0,Improves balance and leg strength,270.0,"Quadriceps, Hamstrings, Glutes",None or Dumbbells,Intermediate,Arms,Biceps,Triceps dips
44.0,Male,65.2,1.8,192.0,139.0,68.0,0.73,502.0,HIIT,27.2,2.7,2.0,1.0,20.12,3.0,0.0,203.662,81.465,54.31,1629.298,Energy Rice,Snack,Keto,45.7,2348,128,140,Grilled,19,94,2.3,0,Plyo Squats,3.0,12.0,Builds lower body power,315.0,"Quadriceps, Glutes",Pull-up Bar,Intermediate,Legs,Hamstrings,Barbell squats
59.0,Male,53.9,1.75,168.0,135.0,69.0,1.48,989.0,Strength,21.6,2.8,4.0,2.0,17.6,4.0,1.0,270.918,108.367,72.245,2167.345,Listen Salad,Snack,Keto,34.4,464,148,243,Raw,51,40,3.9,0,Scissors Kicks,3.0,20.0,Strengthens lower abs and hip flexors,195.0,"Lower Abs, Hip Flexors",Pull-up Bar,Intermediate,Legs,Hamstrings,Leg press
45.0,Male,84.9,1.86,186.0,136.0,66.0,1.64,1104.0,HIIT,14.2,3.5,5.0,3.0,24.54,2.0,0.0,255.75,102.3,68.2,2046.0,Law Rice,Lunch,Balanced,30.4,1946,300,338,Steamed,36,102,2.3,0,Tricep Dips,3.0,12.0,Isolates triceps,180.0,Triceps,Bench or Chair,Intermediate,Legs,Hamstrings,Leg extensions
33.0,Female,78.0,1.68,183.0,135.0,55.0,1.29,871.0,HIIT,32.3,1.8,3.0,2.0,27.64,3.0,0.0,203.85,81.54,54.36,1630.8,Benefit Sandwich,Breakfast,Low-Carb,49.3,2374,115,171,Fried,46,36,3.6,0,Seated Rows,3.0,12.0,Improves back strength and posture,240.0,"Back, Biceps",Cable Machine or Resistance Band,Intermediate,Legs,Hamstrings,Romanian deadlifts
32.0,Male,108.2,1.8,172.0,138.0,53.0,1.27,964.0,HIIT,28.4,3.5,3.0,1.0,33.4,4.0,4.0,395.438,158.175,105.45,3163.502,Main Soup,Snack,Keto,48.4,1588,238,395,Grilled,44,47,3.8,0,Flutter Kicks,3.0,20.0,Targets lower abs,190.0,Lower Abs,Pull-up Bar,Intermediate,Legs,Hamstrings,Leg curls
20.0,Female,65.4,1.52,185.0,127.0,50.0,1.03,654.0,Yoga,28.0,2.2,4.0,2.0,28.31,3.0,0.0,198.375,79.35,52.9,1587.0,Ready Rice,Dinner,Vegan,19.0,2416,167,220,Roasted,9,94,1.6,1,Inverted Rows,3.0,10.0,Builds back strength,220.0,"Back, Biceps",Low Bar or TRX,Intermediate,Legs,Hamstrings,Barbell hip thrusts
54.0,Female,50.2,1.61,188.0,157.0,67.0,1.48,1046.0,HIIT,28.2,2.7,2.0,1.0,19.37,2.0,1.0,311.953,124.781,83.188,2495.628,Story Curry,Lunch,Low-Carb,26.6,1210,160,456,Roasted,14,63,1.5,0,Bulgarian Split Squats,3.0,10.0,Improves unilateral leg strength and balance,290.0,"Quadriceps, Hamstrings, Glutes",Bench or Step,Advanced,Legs,Hamstrings,Donkey kicks
24.0,Female,58.9,1.51,187.0,157.0,68.0,1.04,816.0,Cardio,31.7,2.5,2.0,1.0,25.83,3.0,0.0,202.5,81.0,54.0,1620.0,Important Salad,Snack,Vegetarian,42.9,2207,30,175,Boiled,10,105,4.1,0,Prone Cobras,3.0,12.0,Improves posture and strengthens upper back,160.0,"Upper Back, Rear Deltoids",Pull-up Bar,Beginner,Legs,Hamstrings,Standing calf raises
38.0,Male,81.4,1.71,187.0,148.0,58.0,1.52,1237.0,HIIT,10.2,3.5,5.0,3.0,27.84,2.0,0.0,204.562,81.825,54.55,1636.498,Plant Curry,Dinner,Vegan,49.9,767,82,359,Steamed,31,33,2.5,0,Resistance Band Pull-Aparts,3.0,15.0,Improves shoulder health and posture,140.0,"Upper Back, Rear Deltoids",Resistance Band,Beginner,Legs,Hamstrings,Seated calf raises
26.0,Male,127.6,1.73,167.0,160.0,62.0,1.32,1162.0,Strength,27.3,2.9,3.0,1.0,42.63,3.0,0.0,296.062,118.425,78.95,2368.498,Which Soup,Snack,Paleo,3.5,2354,120,376,Boiled,47,29,2.5,1,Wall Angels,3.0,10.0,Improves shoulder mobility and posture,130.0,"Shoulders, Upper Back",Wall,Beginner,Shoulders,Anterior,Dumbbell front raises
56.0,Female,59.3,1.56,182.0,155.0,57.0,1.26,879.0,Cardio,33.4,2.6,4.0,2.0,24.37,3.0,0.0,303.938,121.575,81.05,2431.502,Science Salad,Snack,Vegetarian,9.6,1461,113,336,Fried,57,21,1.7,0,Bird Dogs,3.0,10.0,Improves core stability and balance,175.0,"Core, Lower Back",Pull-up Bar,Beginner,Shoulders,Anterior,Military press
35.0,Male,96.9,1.71,188.0,145.0,72.0,1.34,1069.0,Strength,24.2,2.9,3.0,2.0,33.14,2.0,1.0,263.441,105.377,70.251,2107.531,Give Sandwich,Dinner,Paleo,1.2,2455,225,489,Grilled,46,93,1.9,0,Plyometric Push-ups,3.0,8.0,Builds explosive upper body power,280.0,"Chest, Triceps, Shoulders",Pull-up Bar,Advanced,Shoulders,Lateral,Lateral raises
21.0,Male,62.6,1.81,164.0,150.0,62.0,1.3,1072.0,Strength,27.6,3.5,4.0,2.0,19.11,3.0,0.0,243.0,97.2,64.8,1944.0,Black Curry,Snack,Low-Carb,49.8,2347,124,427,Steamed,58,89,2.3,0,Decline Push-ups,3.0,12.0,Targets upper chest,220.0,"Upper Chest, Triceps",Bench or Step,Advanced,Shoulders,Posterior,Bent-over lateral raises
42.0,Male,45.5,1.6,166.0,163.0,64.0,1.31,1057.0,Strength,21.7,2.6,3.0,2.0,17.77,3.0,0.0,266.438,106.575,71.05,2131.502,Yeah Pasta,Dinner,Low-Carb,15.1,149,264,348,Raw,14,33,2.0,0,Incline Push-ups,3.0,12.0,Targets lower chest,180.0,"Lower Chest, Triceps",Bench or Step,Beginner,Shoulders,Posterior,Face pulls
31.0,Female,48.8,1.51,195.0,131.0,60.0,1.48,969.0,Cardio,28.2,2.0,2.0,1.0,21.4,3.0,0.0,228.975,91.59,61.06,1831.8,Fund Sandwich,Dinner,Balanced,40.8,1997,268,195,Baked,22,74,3.7,0,Dead Bugs,3.0,12.0,Improves core stability,165.0,"Core, Lower Back",Pull-up Bar,Beginner,Abs,Upper,Crunches
26.0,Female,44.3,1.6,186.0,136.0,61.0,1.08,734.0,Cardio,34.7,2.0,3.0,1.0,17.3,2.0,0.0,210.412,84.165,56.11,1683.298,Kind Wrap,Dinner,Balanced,34.7,1337,266,136,Grilled,32,115,1.4,0,Pistol Squats,3.0,5.0,Builds unilateral leg strength and balance,300.0,"Quadriceps, Hamstrings, Glutes",Pull-up Bar,Advanced,Abs,Upper,Leg raises
43.0,Male,113.2,1.83,161.0,134.0,63.0,1.45,962.0,Yoga,29.9,2.9,4.0,2.0,33.8,3.0,0.0,288.0,115.2,76.8,2304.0,Maintain Wrap,Snack,Paleo,25.8,2341,295,124,Grilled,23,104,1.2,0,Zottman Curls,3.0,10.0,Targets biceps and forearms,155.0,"Biceps, Forearms",Dumbbells,Intermediate,Abs,Middle,Bicycle crunches
19.0,Female,60.5,1.59,184.0,128.0,53.0,1.14,730.0,Cardio,30.1,2.2,2.0,1.0,23.93,2.0,0.0,204.038,81.615,54.41,1632.302,Administration Curry,Snack,Balanced,36.9,1839,268,489,Raw,40,110,2.0,0,Dragon Flags,3.0,8.0,Advanced core exercise,250.0,Full Core,Bench or Sturdy Surface,Advanced,Abs,Middle,Russian twists
37.0,Male,124.2,1.76,168.0,158.0,50.0,1.5,1304.0,HIIT,29.3,2.8,2.0,1.0,40.1,3.0,0.0,220.312,88.125,58.75,1762.498,Produce Stew,Snack,Paleo,3.4,384,109,369,Baked,34,119,4.6,0,Renegade Rows,3.0,10.0,Improves core stability and upper body strength,280.0,"Back, Core, Shoulders",Dumbbells,Advanced,Abs,Lower,Hanging leg raises
45.0,Male,52.4,1.85,186.0,161.0,73.0,1.2,956.0,Strength,25.2,2.5,3.0,1.0,15.31,3.0,0.0,243.6,97.44,64.96,1948.8,Away Curry,Lunch,Balanced,6.2,2033,130,431,Steamed,58,62,1.9,0,Frog Jumps,4.0,15.0,Builds lower body power and endurance,310.0,"Quadriceps, Calves, Glutes",Pull-up Bar,Intermediate,Abs,Lower,Plank
24.0,Male,54.7,1.74,160.0,167.0,53.0,0.84,772.0,Yoga,22.9,3.6,3.0,1.0,18.07,2.0,1.0,329.355,131.742,87.828,2634.84,Change Wrap,Lunch,Low-Carb,3.9,661,152,289,Fried,24,37,4.3,0,Turkish Get-ups,3.0,5.0,Enhances full-body coordination and stability,240.0,"Full Body, Core, Shoulders",Kettlebell,Advanced,Forearms,Wrist Flexors,Wrist curl
25.0,Male,88.1,1.95,182.0,131.0,68.0,1.41,1016.0,Cardio,22.7,3.0,2.0,1.0,23.17,3.0,0.0,281.625,112.65,75.1,2253.0,Likely Soup,Snack,Vegetarian,1.9,2162,125,377,Roasted,51,40,4.1,0,Bear Crawls,3.0,20.0,Strengthens core and improves mobility,220.0,"Core, Shoulders, Hips",Pull-up Bar,Intermediate,Forearms,Wrist Extensors,Wrist extension
52.0,Female,59.7,1.71,169.0,151.0,58.0,1.23,836.0,Strength,34.3,2.0,3.0,1.0,20.42,2.0,0.0,179.85,71.94,47.96,1438.8,After Sandwich,Breakfast,Paleo,28.4,1042,160,424,Fried,50,118,3.5,0,Windshield Wipers,3.0,12.0,Targets obliques and improves core rotation,200.0,"Obliques, Core",Pull-up Bar,Advanced,Forearms,Grip Strength,Plate pinch
31.0,Female,79.7,1.54,184.0,144.0,59.0,1.03,742.0,Cardio,26.7,2.3,4.0,2.0,33.61,3.0,0.0,302.625,121.05,80.7,2421.0,Should Stew,Dinner,Vegan,13.3,2462,15,287,Grilled,34,24,3.9,0,Thrusters,4.0,10.0,Combines lower body and upper body strength,330.0,"Legs, Shoulders, Core",Dumbbells or Barbell,Advanced,Forearms,Grip Strength,Towel pull-up
34.0,Female,51.0,1.62,162.0,158.0,53.0,1.42,1122.0,Yoga,30.8,2.4,3.0,2.0,19.43,3.0,0.0,218.288,87.315,58.21,1746.302,Impact Stew,Breakfast,Paleo,48.0,603,11,421,Steamed,16,23,1.6,0,Bicep Curls,3.0,17.0,Burns fat quickly,237.2,Chest,Pull-up Bar,Intermediate,Forearms,Grip Strength,Fat grip dumbbell curl
53.0,Male,84.2,1.76,165.0,137.0,69.0,1.67,1133.0,Cardio,12.8,3.5,5.0,3.0,27.18,2.0,0.0,250.912,100.365,66.91,2007.298,Company Wrap,Dinner,Paleo,8.5,1581,80,149,Raw,10,87,4.3,1,Leg Press,4.0,18.0,Burns fat quickly,270.84000000000003,Chest,Pull-up Bar,Intermediate,Forearms,Grip Strength,Hammer curl
57.0,Male,122.1,1.89,165.0,134.0,58.0,1.13,750.0,Cardio,27.4,3.6,3.0,1.0,34.18,3.0,0.0,197.438,78.975,52.65,1579.502,Many Salad,Breakfast,Low-Carb,37.7,1397,242,120,Boiled,13,80,4.7,0,Leg Press,3.0,13.0,Burns fat quickly,259.42,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
21.0,Male,96.7,1.72,161.0,151.0,62.0,1.26,1046.0,Strength,25.0,2.8,3.0,1.0,32.69,4.0,0.0,193.538,77.415,51.61,1548.302,Interview Sandwich,Breakfast,Balanced,6.3,1403,178,388,Grilled,54,68,1.7,0,Leg Press,4.0,15.0,Burns fat quickly,269.34000000000003,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
19.0,Female,73.0,1.79,177.0,125.0,61.0,0.81,506.0,HIIT,27.7,1.6,3.0,1.0,22.78,3.0,0.0,219.6,87.84,58.56,1756.8,Economic Curry,Snack,Vegetarian,4.9,1179,249,366,Baked,12,44,1.1,1,Lunges,3.0,16.0,Burns fat quickly,251.6,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
23.0,Male,114.8,1.6,182.0,163.0,60.0,1.47,1318.0,Cardio,21.7,2.7,4.0,2.0,44.84,3.0,0.0,269.85,107.94,71.96,2158.8,Task Salad,Breakfast,Keto,38.0,947,28,210,Grilled,50,36,3.4,0,Plank,4.0,13.0,Burns fat quickly,253.96,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
59.0,Female,65.5,1.52,161.0,162.0,61.0,1.4,1021.0,Yoga,31.2,2.1,3.0,2.0,28.35,3.0,0.0,201.975,80.79,53.86,1615.8,Let Rice,Lunch,Paleo,13.3,871,269,500,Fried,57,77,3.7,0,Plank,4.0,15.0,Burns fat quickly,247.1,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
21.0,Female,50.3,1.52,171.0,154.0,67.0,1.08,832.0,Cardio,32.2,2.6,3.0,1.0,21.77,4.0,0.0,213.225,85.29,56.86,1705.8,Section Salad,Lunch,Vegan,20.4,565,163,297,Baked,41,40,3.5,0,Bench Press,3.0,12.0,Burns fat quickly,234.06,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
46.0,Female,61.0,1.71,181.0,153.0,61.0,1.67,1150.0,Cardio,17.8,2.7,4.0,3.0,20.86,2.0,0.0,178.538,71.415,47.61,1428.302,Hard Wrap,Breakfast,Low-Carb,43.4,2489,109,145,Steamed,12,83,3.5,0,Squats,4.0,12.0,Burns fat quickly,231.2,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
35.0,Female,44.6,1.62,196.0,157.0,65.0,0.56,440.0,HIIT,32.4,2.0,2.0,1.0,16.99,2.0,0.0,172.162,68.865,45.91,1377.298,On Curry,Breakfast,Vegan,42.4,1385,86,468,Roasted,47,18,4.3,0,Leg Press,4.0,17.0,Burns fat quickly,224.92,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
43.0,Female,58.2,1.61,179.0,124.0,54.0,1.04,580.0,Strength,26.4,2.6,3.0,2.0,22.45,3.0,1.0,244.75,97.9,65.267,1958.003,Expert Rice,Breakfast,Vegetarian,9.6,1400,40,474,Fried,47,108,2.2,0,Bench Press,3.0,15.0,Burns fat quickly,264.64,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
51.0,Female,44.8,1.63,198.0,137.0,69.0,1.08,666.0,Yoga,33.8,2.1,4.0,2.0,16.86,4.0,1.0,208.871,83.548,55.699,1670.967,Heavy Stew,Dinner,Paleo,49.7,2341,232,469,Roasted,28,55,2.1,0,Lunges,4.0,12.0,Burns fat quickly,229.96,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
27.0,Male,87.5,1.63,183.0,135.0,74.0,1.75,1299.0,Strength,12.9,3.5,5.0,3.0,32.93,4.0,4.0,409.094,163.638,109.092,3272.756,Why Curry,Lunch,Keto,7.4,1538,102,110,Fried,14,21,3.6,1,Burpees,3.0,14.0,Burns fat quickly,246.5,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
53.0,Male,51.8,1.74,179.0,127.0,61.0,1.23,773.0,Strength,21.3,3.7,3.0,2.0,17.11,4.0,1.0,307.656,123.062,82.042,2461.25,Wall Sandwich,Breakfast,Vegetarian,6.5,1794,116,321,Boiled,43,35,4.2,1,Bench Press,3.0,20.0,Burns fat quickly,227.36,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
31.0,Female,64.4,1.7,160.0,144.0,70.0,1.97,1418.0,Strength,17.3,2.7,5.0,3.0,22.28,3.0,3.0,336.914,134.766,89.844,2695.316,Thought Rice,Dinner,Vegetarian,41.5,533,198,297,Boiled,55,42,4.1,0,Deadlift,3.0,14.0,Burns fat quickly,252.88,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
48.0,Female,67.1,1.61,160.0,151.0,74.0,0.62,421.0,Cardio,33.4,1.5,2.0,1.0,25.89,3.0,0.0,208.35,83.34,55.56,1666.8,Include Curry,Lunch,Low-Carb,26.7,1186,271,269,Baked,9,112,2.7,0,Burpees,3.0,15.0,Burns fat quickly,259.42,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
32.0,Male,85.9,1.6,176.0,145.0,60.0,1.99,1587.0,HIIT,14.5,3.5,5.0,3.0,33.55,3.0,0.0,198.938,79.575,53.05,1591.502,Institution Curry,Dinner,Balanced,46.9,1245,90,189,Baked,50,84,2.2,0,Bicep Curls,4.0,13.0,Burns fat quickly,236.18,Chest,Pull-up Bar,Intermediate,Full Body,Triceps,Pull Ups
